Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Branching Logic (Show field only if...),Required Field?,cleaner_initials,Cleaned
work_hours_inside,baseline_worker,,text,"Normalmente, ?cu?ntas horas al d?a pasa usted en un establo o sala de orde?a? Horas por d?a: /<font color=""red""> How many hours do you spend inside a building where [the specific animals] are held [e.g. milking parlor, housing structure]? </font>
",,,,,,HMW,
work_coworkers,baseline_worker,,text,"En un d?a normal de trabajo, ?Con cu?ntos compa?eros de trabajo tiene usted contacto cercano (por ejemplo, saludo de manos, platicar cara a cara, etc.)? /<font color=""red""> During a typical workday, how many co-workers do you come into close contact with (e.g., hand shake, talking face-to-face, etc.)? </font>",,,,,,,
work_visitors,baseline_worker,,text,"Cuando trabaja en la lecher?a, ?Con cu?ntos visitantes (personas que no est?n directamente empleadas por la lecher?a) hace usted contacto en un mes? /<font color=""red""> When working at the farm, how many visitors (those who are not directly employed by the farm) do you come into close contact with (e.g., hand shake, talking face-to-face, etc.)?</font>",,,,,,,
work_cows_yn,baseline_worker,"?Con qu? componentes del ganado vacuno trabaja en esta lecher?a? Considerando todas las actividades de trabajo que hace en esta lecher?a, ?aproximadamente cu?ntas horas al d?a pasa usted con cada componente del ganado vacuno? / What are the types of cattle you handle at this farm (cows, bulls, calves, etc.)? b) Given all the tasks you perform, approximately how many hours per week are you in contact with each type of cattle?",radio,"Vacas /<font color=""red""> Cows </font>","1, Si / Yes|2, No / No",,,,,HMW,
work_cows_hours,baseline_worker,,text,"Vacas (horas por semana) /<font color=""red""> Cows (hours per week)</font>",,,,[work_cows_yn] = '1',,HMW,
work_bulls_yn,baseline_worker,,radio,"Toros /<font color=""red""> Bulls</font>","1, Si / Yes|2, No / No",,,,,HMW,
work_bulls_hours,baseline_worker,,text,"Toros (horas por semana)  /<font color=""red""> Bulls (hours per week)</font>",,,,[work_bulls_yn] = '1',,HMW,
work_calves_yn,baseline_worker,,radio,"Becerras (0-12 meses) /<font color=""red""> Calves (0-12mo)</font>","1, Si / Yes|2, No / No",,,,,HMW,
work_calves_hours,baseline_worker,,text,"Becerras (0-12 meses) (horas por semana)  /<font color=""red""> Calves (0-12mo) (hours per week)</font>",,,,[work_calves_yn] = '1',,HMW,
work_heifers_yn,baseline_worker,,radio,"Vaquillas (vacas j?venes que no han tenido partos) (m?s de 12 meses) /<font color=""red""> Heifers (12mo+)</font>","1, Si / Yes | 2, No / No",,,,,HMW,
work_heifers_hours,baseline_worker,,text,"Vaquillas (vacas j?venes que no han tenido partos) (m?s de 12 meses) (horas por semana)  /<font color=""red""> Heifers (12mo+) (hours per week)</font>",,,,[work_heifers_yn] = '1',,HMW,
work_other_animals,baseline_worker,,text,"Otro animals /<font color=""red""> Other animals specify</font>",,,,,,HMW,
work_domestic,baseline_worker,,radio,"Adem?s del ganado vacuno, ?trabaja usted con otros animals dom?sticos en la lecher?a (como puercos y aves)? /<font color=""red""> At the farm, do you care for other domestic animals (like dogs, cats, swine or poultry) besides cattle? </font>","1, Si / Yes | 2, No / No",,,,,HMW,
work_domestic_list,baseline_worker,,text,"Si s?, an?telos, por favor /<font color=""red""> If yes, please list them</font>",,,,[work_domestic] = '1',,,
work_domestic_freq,baseline_worker,,radio,"Con qu? frequencia lo hace? /<font color=""red""> Frequency</font>","1, Todos los dias / Everyday | 2, 2 a 3 veces por semana / 2-3 times/week | 3, Raramente/Rarely",,,[work_domestic] = '1',,HMW,
work_otherplaces,baseline_worker,,radio,"Actualmente, ?tiene usted otros trabajos fuera de su trabajo en esta lecher?a?/<font color=""red""> Are you currently employed anywhere other than [here, this farm]? </font>","1, Si / Yes | 2, No / No",,,,,HMW,
work_other_where,baseline_worker,,text," Si respondi? s?, ?de donde? If yes, where?",,,,[work_otherplaces] = '1',,,
work_other_category,baseline_worker,,radio,"Si respondi? s?, ?qu? tipo de trabajo? /<font color=""red""> If yes, what category does your other job fall into?","1, De oficina/Clerical | 2, Educacional / Educational | 3, Culinario o de la industria de servicio de alimentos / Culinary/Food service industry | 4, T?cnico / Technical | 5, Agricultura / Agricultural | 6, Otro...especifique, por favor / Other, please specify",,,[work_otherplaces] = '1',,HMW,
work_other_text,baseline_worker,,text,"Otro...especifique, por favor /<font color=""red""> Other, please specify",,,,[work_other_category] = '6',,HMW,
milking_yn,baseline_worker,"B. ?qu? tipo de trabajo hace en esta lecher?a? En una semana normal, ?cuantos di?s por semana hace Ud.  este tipo de trabajo? ?Y cuantas horas por d?a? Nota: use decimales si es un tipo de trabajo que lo hace mensualmente.  / <font color=""Red""> 12. a) What type(s) of work do you do on the dairy? In an average week, how many days do you do any work for this category? How many hours on a given day? Note: use decimal if a monthly task.  </font>",radio,"Orde?a /<font color=""red"">Milking</font>","1, Si / <font color=""red"">Yes</font> | 2, No / <font color=""red"">No</font>",,,,,HMW,
milking_freq_days,baseline_worker,,text,"Dias/Semana o Mes /<font color=""red"">Days/Week or Month </font>",,,,[milking_yn] = '1',,,
milking_freq_hours,baseline_worker,,text,"Horas/ Dia /<font color=""red""> Hours per Day </font>",,,,[milking_yn] = '1',,,
maintenence_yn,baseline_worker,,radio,"Mantenimiento /<font color=""red""> Maintenance </font>","1, Si / <font color=""red"">Yes</font> | 2, No / <font color=""red"">No</font>",,,,,HMW,
maintenence_freq_days,baseline_worker,,text,"Dias/ Semana o Mes /<font color=""red"">Days/Week or Month  </font>",,,,[maintenence_yn] = '1',,,
maintenence_freq_hours,baseline_worker,,text,"Horas/ Dia /<font color=""red""> Hours per Day </font>",,,,[maintenence_yn] = '1',,,
herdhealth_yn,baseline_worker,,radio,"Salud y reproducci?n del ganado / <font color=""red"">Herd Health and Reproduction  </font>","1, Si / <font color=""red"">Yes</font> | 2, No / <font color=""red"">No</font>",,,,,HMW,
herdhealth_freq_days,baseline_worker,,text,"Dias/ Semana o Mes /<font color=""red"">Days/Week or Month  </font>",,,,[herdhealth_yn] = '1',,,
herdhealth_freq_hours,baseline_worker,,text,"Horas/ Dia /<font color=""red""> Hours per Day </font>",,,,[herdhealth_yn] = '1',,,
feeding_yn,baseline_worker,,radio,"Alimentacion de las vacas / <font color=""red"">Feeding cows</font>","1, Si / <font color=""red"">Yes</font> | 2, No / <font color=""red"">No</font>",,,,,HMW,
feeding_freq_days,baseline_worker,,text,"Dias/<font color=""red"">Semana o Mes /<font color=""red"">Days/Week or Month  </font>",,,,[feeding_yn] = '1',,,
feeding_freq_hours,baseline_worker,,text,"Horas/<font color=""red"">Dia /<font color=""red""> Hours per Day </font>",,,,[feeding_yn] = '1',,,
fieldwork_yn,baseline_worker,,radio,"Trabajo de campo/ <font color=""red"">Field Work</font>","1, Si / <font color=""red"">Yes</font> | 2, No / <font color=""red"">No</font>",,,,,HMW,
fieldwork_freq_days,baseline_worker,,text,"Dias/ Semana o Mes /<font color=""red"">Days/Week or Month  </font>",,,,[fieldwork_yn] = '1',,,
fieldwork_freq_hours,baseline_worker,,text,"Horas/ Dia /<font color=""red""> Hours per Day </font>",,,,[fieldwork_yn] = '1',,,
milking_activity,baseline_worker,"Si responde ""si"" de las categor?as arriba, qual actividades hace? / <font color=""red"">For each applicable category below, what activities do you perform? </font>",checkbox,"Orde?a /<font color=""red"">Milking </font>","1, Orde?a a mano / <font color=""red"">Milking by hand</font> | 2, Orde?a con m?quinas / <font color=""red"">Milking using machinery</font> | 3, Inspecci?n de vacas por mastitis / <font color=""red"">Inspect cows for mastitis</font> | 4, Procedimientos de maquinaria y limpiando despu?s de la orde?a / <font color=""red"">Perform machinery and sanitation procedures after milking</font> | 5, Limpieza y/o lavado a presi?n del ?rea de orde?a ?rea de espera y cuarto de tanques a granel / <font color=""red"">Cleaning and/or pressure washing milking parlor, holding area and bulk tank room</font>",,,[milking_yn] = '1',,,
maintenance_activity,baseline_worker,,checkbox,"Mantenimiento / <font color=""red""> 
 Maintenance </font>","1, Actividades relacionadas a la alimentaci?n (incluyendo trabajo con forrajes) / <font color=""red"">Feeding-related activities (includes working with silage)</font> | 2, Mantenimiento de equipo y herramientas / <font color=""red"">Maintaining equipment and tools</font> | 3, Limpieza y/o lavado con agua a presi?n de los establos / <font color=""red"">Cleaning and/or pressure washing stalls</font> | 4, Eliminaci?n de camas de establo / <font color=""red"">Removing bedding</font> | 5, Limpiar de esti?rcol/Removing cattle manure</font> | 6, Mantenimiento del terreno, pastura, cercas / <font color=""red"">Maintenance of grounds, pasture, fences</font> | 7, Mantenimiento general de las instalaciones / <font color=""red""> General upkeep of facilities</font> | 8, Traslado y/o transporte de los animals fuera de las lecher?a / <font color=""red"">Moving and/or transporting animals off-site</font>",,,[maintenence_yn] = '1',,,
herdhealth_activity,baseline_worker,,checkbox,"Salud y reproducci?n del ganado
<font color=""red"">Herd Health and Reproduction </font>
","1, Trabajo con archivos o registros y/o revisi?n rutinaria de los animales <br> <font color=""red"">Record keeping and/or routine checking of animals</font> | 2, Manejo reproductivo (por ejemplo: detecci?n de celo, inseminaci?n artificial, cr?a, etc. <br> <font color=""red"">Reproductive management (e.g., heat detection, artificial insemination, breeding, etc.)</font> | 3, Ayuda con la distocia (parto dif?cil) / <font color=""red"">Assisting with dystocia (difficult birthing)</font> | 4, Dar las vacunas de rutina / <font color=""red"">Performing routine vaccinations</font> | 5, Actividades de tratamiento (por ejemplo: aplicando medicamentos, antibi?ticos, haciendo cirug?as, etc.) / <font color=""red"">Treatment-related activities (e.g., administering medication, antibiotics, performing surgery etc.)</font> | 6, Tirando los animales muertos / <font color=""red"">Handling and/or disposing of dead animals</font>",,,[herdhealth_yn] = '1',,,
feeding_activity,baseline_worker,,checkbox,"Alimentaci?n de las vacas / <font color=""red"">Feeding cows</font>","1, Alimentaci?n de las vacas / <font color=""red"">Feeding cows</font>",,,[feeding_yn] = '1',,,
fieldwork_activity,baseline_worker,,checkbox,"Trabajo de campo / <font color=""red"">Field work</font>","1, Esparcimiento del abono / fertilizante / <font color=""red""> Spreading manure/fertilizer</font> | 2, Plantaci?n / <font color=""red"">Planting</font> | 3, Cosecha  / <font color=""red"">Harvesting</font>",,,[fieldwork_yn] = '1',,,
other_activity,baseline_worker,,text,"Otros...especifique, por favor / <font color=""red"">Other activities, please describe</font>",,,,,,,
monitor_worker_health,baseline_worker,,radio,"Sabe usted de alg&#250n programa en la lecher?a que monitorea la salud del trabajador?/<font color=""red""> Do you know of any program at [the site] that monitors workers' health? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,,
monitor_participate,baseline_worker,,radio,"Si respondi? s?, usted est? participando in el programa que monitorea la salud del trabajador? /<font color=""red"">If yes, are you participating in the program to monitor worker health? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[monitor_worker_health] = '1',,,
sick_time,baseline_worker,,radio,"Su empleador o patr?n en esta lecher?a tiene una p?liza de pago por ausencia en el trabajo debido a enfermedad? /<font color=""red""> Does your employer at this farm have a policy where workers can still receive pay when sick at home? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,,
respirator_yn,baseline_worker,,radio,"Utiliza un respirador para cualquiera de sus tareas en el trabajo? /<font color=""red""> Do you use a respirator for any of your tasks at work?  </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
respirator_program,baseline_worker,,radio,"Si respondi? s?, Utiliza un respirador seg?n lo requerido por parte de un programa detallado de protecci?n respiratoria, en el que se incluye entrenamiento, evaluaci?n m?dica y prueba de ajuste? /<font color=""red""> If yes, do you use your respirator as required by a respiratory protection program that includes training, medical evaluation, and fitness testing? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[respirator_yn] = '1',,HMW,
hand_wash_station,baseline_worker,,radio,"?Existen instalaciones disponibles para lavado de manos en esta lecher?a, f?cilmente disponibles? /<font color=""red""> Are hand-washing stations readily available at your job? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
clean_hands,baseline_worker,,checkbox,"Normalmente, ?qu? utiliza para limpiar sus manos en la lecher?a? (Selecciones todas las que apliquen.) /<font color=""red""> What do you normally use to clean your hands at [your place of employment/<font color=""red"">e.g.the farm]? (Check all that apply.) </font>","1, Jab?n en barra y agua / Bar soap and water | 2, Jab?n l?quido y agua / Liquid soap and water | 3, Desinfectantes de las manos/alcohol / Hand sanitizer/Alcohol | 4, S?lo enjuague con agua / Rinse with water only | 5, Clorhexidina/povidona yodada (Tipo de desinfectantes)  / Chlorhexidine scrub/povidone iodine | 97, Otro...especifique, por favor/ Other please specify | 99, No s?/No estoy seguro / Don't know/Not sure",,,,,HMW,
clean_hands_other,baseline_worker,,text,"Otro...especifique, por favor /<font color=""red""> If other, please specify </font>",,,,,,HMW,
wash_eat_bef,baseline_worker,Do you wash your hands...,radio,"Antes de Comer /<font color=""red""> Before Eating </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_eat_aft,baseline_worker,,radio,"Despues Comer /<font color=""red"">After Eating </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_drink_bef,baseline_worker,,radio,"Antes Beber /<font color=""red"">Before Drinking </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_drink_aft,baseline_worker,,radio,"Despues Beber /<font color=""red"">After Drinking </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_gum_bef,baseline_worker,,radio,"Antes de Masticar chicle /<font color=""red""> Before Chewing Gum </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_smoke_bef,baseline_worker,,radio,"Antes de fumar tabaco /<font color=""red""> Before Smoking </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_smoke_aft,baseline_worker,,radio,"Despues fumar tabaco /<font color=""red"">After Smoking </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_milking_bef,baseline_worker,,radio,"Antes de Orde?ar /<font color=""red""> Before Milking </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_milking_aft,baseline_worker,,radio,"Despues Orde?ar /<font color=""red"">After Milking </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_maintenance_bef,baseline_worker,,radio,"</font>Antes de Trabajos de mantenimiento /<font color=""red""> Before Maintenance","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_maintenance_aft,baseline_worker,,radio,"Despues Trabajos de mantenimiento /<font color=""red"">After Maintenance </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_herdhealth_bef,baseline_worker,,radio,"Antes de Salud y reproducci?n del Ganado /<font color=""red""> Before Herd Health </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_herdhealth_aft,baseline_worker,,radio,"Despues Salud y reproducci?n del Ganado  /<font color=""red"">After Herd Health </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_gloves_aft,baseline_worker,,radio,"Despues Quitarse los guantes /<font color=""red"">After Gloves </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_vetmed_bef,baseline_worker,,radio,"Antes de Cuidado medical de los animales /<font color=""red""> Before Animal Health Care </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_vetmed_aft,baseline_worker,,radio,"Despues Cuidado medical de los animales /<font color=""red"">After Animal Health </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_feeding_bef,baseline_worker,,radio,"Antes de Alimentacion de los animales /<font color=""red""> Before Feeding Animals </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_feeding_aft,baseline_worker,,radio,"Despues Alimentacion de los animales  /<font color=""red"">After Feeding Animals </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_restrain_bef,baseline_worker,,radio,"Antes de Restricci?n de animales  /<font color=""red""> Before Restraining Animals </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_restrain_aft,baseline_worker,,radio,"Despues Restricci?n de animales  /<font color=""red"">After Restraining Animals </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_restroom_bef,baseline_worker,,radio,"Antes de Usando de ba?o /<font color=""red""> Before Using restroom </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
wash_restroom_aft,baseline_worker,,radio,"Despues Usando de ba?o  /<font color=""red"">After Using restroom </font>","1, Siempre / Always | 2, A menudo/Often | 3, Algunas veces/Sometimes | 4, Rara vez / Rarely | 5, Nunca/Never | 98, No aplica / N/A",,,,,,
ppe_milking,baseline_worker,Personal Protective Equipment,checkbox,"Orde?a / <font color=""red"">Milking</font>","1, Heavy rubber gloves | 2, Disposable gloves (Nitrile / Vinyl / Latex) | 6, Paper dust mask | 4, N95<br>Other filter-<br>ing respi-<br>rator | 5, Cart-<br>ridge respi-<br>rator | 17, PAPR<br> (Power<br>ed Air Purify-<br>ing  <br>Respi-<br>rator) | 14, Rub<br>ber<br>poly boots | 7, Eye<br>protect-<br>ion (gog<br>gles / safety glass<br>es) | 11, Dispo-<br>sable<br>outer<br>gar-<br>ments | 13, Water<br>resistant<br>outer<br>garments (rain<br>gear) | 12, Cover<br>alls | 10, Head<br>hair cover-<br>ing (not includ- <br>ing base- <br>ball caps) | 98, None | 97, Other",,,,,HMW,
ppe_maintenance,baseline_worker,,checkbox,"Mantenumiento / <font color=""red"">Maintenance</font>","1, Heavy rubber gloves | 2, Disposable gloves (Nitrile / Vinyl / Latex) | 6, Paper dust mask | 4, N95<br>Other filter-<br>ing respi-<br>rator | 5, Cart-<br>ridge respi-<br>rator | 17, PAPR<br> (Power<br>ed Air Purify-<br>ing  <br>Respi-<br>rator) | 14, Rub<br>ber<br>poly boots | 7, Eye<br>protect-<br>ion (gog<br>gles / safety glass<br>es) | 11, Dispo-<br>sable<br>outer<br>gar-<br>ments | 13, Water<br>resistant<br>outer<br>garments (rain<br>gear) | 12, Cover<br>alls | 10, Head<br>hair cover-<br>ing (not includ- <br>ing base- <br>ball caps) | 98, None | 97, Other",,,[maintenence_yn] = '1',,HMW,
ppe_herdhealth,baseline_worker,,checkbox,"Salud y reproducci?n del ganado / <font color=""red"">Herd Health and<br>Reproduction</font>","1, Heavy rubber gloves | 2, Disposable gloves (Nitrile / Vinyl / Latex) | 6, Paper dust mask | 4, N95<br>Other filter-<br>ing respi-<br>rator | 5, Cart-<br>ridge respi-<br>rator | 17, PAPR<br> (Power<br>ed Air Purify-<br>ing  <br>Respi-<br>rator) | 14, Rub<br>ber<br>poly boots | 7, Eye<br>protect-<br>ion (gog<br>gles / safety glass<br>es) | 11, Dispo-<br>sable<br>outer<br>gar-<br>ments | 13, Water<br>resistant<br>outer<br>garments (rain<br>gear) | 12, Cover<br>alls | 10, Head<br>hair cover-<br>ing (not includ- <br>ing base- <br>ball caps) | 98, None | 97, Other",,,[herdhealth_yn] = '1',,HMW,
ppe_feeding,baseline_worker,,checkbox,"Alimentacion de las vacas / <font color=""red"">Feeding cows</font>","1, Heavy rubber gloves | 2, Disposable gloves (Nitrile / Vinyl / Latex) | 6, Paper dust mask | 4, N95<br>Other filter-<br>ing respi-<br>rator | 5, Cart-<br>ridge respi-<br>rator | 17, PAPR<br> (Power<br>ed Air Purify-<br>ing  <br>Respi-<br>rator) | 14, Rub<br>ber<br>poly boots | 7, Eye<br>protect-<br>ion (gog<br>gles / safety glass<br>es) | 11, Dispo-<br>sable<br>outer<br>gar-<br>ments | 13, Water<br>resistant<br>outer<br>garments (rain<br>gear) | 12, Cover<br>alls | 10, Head<br>hair cover-<br>ing (not includ- <br>ing base- <br>ball caps) | 98, None | 97, Other",,,[feeding_yn] = '1',,HMW,
